empty_slots,free_bikes,latitude,longitude,name,category,rating,popularity,total_bikes
3.0,4.0,24.49,54.36,Back Yard Bistro,Sports Bar,6.9,0.9561090921920756,7.0
3.0,4.0,24.49,54.36,The Nail Spa,Health and Beauty Service,7.5,0.9848992696609392,7.0
3.0,4.0,24.49,54.36,Jazz,Italian Restaurant,7.8,0.9342342024485764,7.0
3.0,4.0,24.49,54.36,Nata Lisboa,Coffee Shop,6.6,0.9585435557280456,7.0
3.0,4.0,24.49,54.36,السوق المركزي,Antique Store,7.2,0.978689623540204,7.0
7.0,7.0,24.49,54.37,ADCB Head Office,Bank,8.4,0.994672405885051,14.0
7.0,7.0,24.49,54.37,دجاج كنتاكى,Fast Food Restaurant,6.4,0.8864975478954239,14.0
7.0,7.0,24.49,54.37,Baskin Robbins (باسكن روبنز),Ice Cream Parlor,7.9,0.8099707158734079,14.0
7.0,7.0,24.49,54.37,Cafe 302,Café,8.7,0.977913417775112,14.0
7.0,7.0,24.49,54.37,Sofitel Club Millésime lounge,Hotel Bar,6.9,0.2119394559503228,14.0
7.0,7.0,24.49,54.37,بيتزا هت,Pizzeria,6.2,0.908125463077303,14.0
7.0,7.0,24.49,54.37,Al Farah Pastries and Grills,Breakfast Spot,7.8,0.9430900045866704,14.0
7.0,7.0,24.49,54.37,ماكدونالدز,Burger Joint,7.2,0.9679285890696115,14.0
7.0,7.0,24.49,54.37,Southern Fried Chicken - SFC,Fast Food Restaurant,6.6,0.1362593938538616,14.0
7.0,7.0,24.49,54.37,فول وفتات الفرح,Mediterranean Restaurant,6.9,0.1087040891930988,14.0
8.0,4.0,24.49,54.39,First Clique Marina Square,Café,8.1,0.964047560244152,12.0
8.0,4.0,24.49,54.39,Geant Supermarket,Grocery Store / Supermarket,5.7,0.1492431993790353,12.0
8.0,4.0,24.49,54.39,Geant Express,Convenience Store,5.7,0.8353738136400523,12.0
5.0,3.0,24.49,54.6,Yas Waterworld,Amusement Park,9.1,0.9960571203070866,8.0
5.0,3.0,24.49,54.6,Warner Bros. Plaza,Plaza,9.0,0.988179308863396,8.0
5.0,3.0,24.49,54.6,Bronto Burgers and Ribs,Burger Joint,7.6,0.5830893553637296,8.0
5.0,3.0,24.49,54.6,Cartoon Junction Carosel,Amusement Park,8.2,0.4530598648441781,8.0
5.0,3.0,24.49,54.6,Fast And Furry-Ous,Amusement Park,6.7,0.9702703417910502,8.0
5.0,3.0,24.49,54.6,Wave Pool,Water Park,6.9,0.9220743860998836,8.0
5.0,3.0,24.49,54.6,Gotham City,Amusement Park,8.3,0.948172078367684,8.0
3.0,2.0,24.49,54.61,G Force,Amusement Park,8.6,0.985532796391476,5.0
3.0,2.0,24.49,54.61,"RED Live Theater | Ferrari World, Abu Dhabi",Theater,8.0,0.93685031092441,5.0
3.0,2.0,24.49,54.61,Galleria Ferrari,Amusement Park,8.4,0.9951599164022656,5.0
3.0,2.0,24.49,54.61,Yas Marina Circuit Main Grandstand,Race Track,8.2,0.9357334880207916,5.0
3.0,2.0,24.49,54.61,Driving with The Champion,Amusement Park,8.0,0.9312486561202246,5.0
3.0,2.0,24.49,54.61,Ferrari Store (متجر فيراري),Clothing Store,7.8,0.9761226156135526,5.0
3.0,2.0,24.49,54.61,Godiva,Chocolate Store,8.1,0.9465375125054476,5.0
3.0,2.0,24.49,54.61,Scuderia Challenge,Amusement Park,7.5,0.972970419129704,5.0
6.0,7.0,24.5,54.36,Abu Dhabi Corniche Opposite 4th St,Scenic Lookout,7.1,0.9663408954591964,13.0
6.0,7.0,24.5,54.36,Formal Park Corniche,Garden,7.2,0.96302437991744,13.0
6.0,3.0,24.5,54.37,MUGG & BEAN Capital Plaza,Café,8.2,0.9003634054263839,9.0
11.0,3.0,24.5,54.37,MUGG & BEAN Capital Plaza,Café,8.2,0.9003634054263839,14.0
6.0,3.0,24.5,54.37,Le Café Lobby Lounge at Sofitel Abu Dhabi,Lounge,7.1,0.2003316515541756,9.0
11.0,3.0,24.5,54.37,Le Café Lobby Lounge at Sofitel Abu Dhabi,Lounge,7.1,0.2003316515541756,14.0
6.0,3.0,24.5,54.37,Altekia,Restaurant,8.1,0.6989380093850334,9.0
11.0,3.0,24.5,54.37,Altekia,Restaurant,8.1,0.6989380093850334,14.0
6.0,3.0,24.5,54.37,Transilvania Restaurant & Café,Café,7.5,0.947606110856296,9.0
11.0,3.0,24.5,54.37,Transilvania Restaurant & Café,Café,7.5,0.947606110856296,14.0
6.0,3.0,24.5,54.37,Marmar - Tradicional Arabian food,Moroccan Restaurant,6.7,0.5057333380376107,9.0
11.0,3.0,24.5,54.37,Marmar - Tradicional Arabian food,Moroccan Restaurant,6.7,0.5057333380376107,14.0
6.0,3.0,24.5,54.37,El Sombrero,Mexican Restaurant,6.8,0.9176516247397948,9.0
11.0,3.0,24.5,54.37,El Sombrero,Mexican Restaurant,6.8,0.9176516247397948,14.0
6.0,3.0,24.5,54.37,Cafe de Foyer,Café,6.3,0.8983876089334227,9.0
11.0,3.0,24.5,54.37,Cafe de Foyer,Café,6.3,0.8983876089334227,14.0
6.0,3.0,24.5,54.37,Corniche Park,Park,8.1,0.8685389690576156,9.0
11.0,3.0,24.5,54.37,Corniche Park,Park,8.1,0.8685389690576156,14.0
6.0,3.0,24.5,54.37,Al Mayass,Middle Eastern Restaurant,8.0,0.842641922167731,9.0
11.0,3.0,24.5,54.37,Al Mayass,Middle Eastern Restaurant,8.0,0.842641922167731,14.0
6.0,3.0,24.5,54.37,كوستا كوفي,Coffee Shop,8.4,0.9068200261087394,9.0
11.0,3.0,24.5,54.37,كوستا كوفي,Coffee Shop,8.4,0.9068200261087394,14.0
6.0,3.0,24.5,54.37,Fresh Way,Sushi Restaurant,7.5,0.8022086582224888,9.0
11.0,3.0,24.5,54.37,Fresh Way,Sushi Restaurant,7.5,0.8022086582224888,14.0
6.0,3.0,24.5,54.37,كافي ومطعم بلانيت,Hookah Bar,7.9,0.8410189464770843,9.0
11.0,3.0,24.5,54.37,كافي ومطعم بلانيت,Hookah Bar,7.9,0.8410189464770843,14.0
6.0,3.0,24.5,54.37,Sun & Sand Sports,Sporting Goods Retail,7.7,0.9762904420844652,9.0
11.0,3.0,24.5,54.37,Sun & Sand Sports,Sporting Goods Retail,7.7,0.9762904420844652,14.0
6.0,3.0,24.5,54.37,Bel Mondo,French Restaurant,6.2,0.679568147337967,9.0
11.0,3.0,24.5,54.37,Bel Mondo,French Restaurant,6.2,0.679568147337967,14.0
6.0,3.0,24.5,54.37,ستاربكس,Coffee Shop,7.4,0.8036552235119783,9.0
11.0,3.0,24.5,54.37,ستاربكس,Coffee Shop,7.4,0.8036552235119783,14.0
6.0,3.0,24.5,54.37,Golden Crown,Indian Restaurant,7.2,0.9337755354055676,9.0
11.0,3.0,24.5,54.37,Golden Crown,Indian Restaurant,7.2,0.9337755354055676,14.0
6.0,3.0,24.5,54.37,Chowking Restaurant,Chinese Restaurant,6.9,0.9727622340613202,9.0
11.0,3.0,24.5,54.37,Chowking Restaurant,Chinese Restaurant,6.9,0.9727622340613202,14.0
6.0,5.0,24.5,54.39,Espoir Flowers,Flower Store,8.4,0.9752672617577532,11.0
10.0,0.0,24.5,54.39,Espoir Flowers,Flower Store,8.4,0.9752672617577532,10.0
6.0,5.0,24.5,54.39,Hidden Bar,Cocktail Bar,8.3,0.945877288924955,11.0
10.0,0.0,24.5,54.39,Hidden Bar,Cocktail Bar,8.3,0.945877288924955,10.0
6.0,5.0,24.5,54.39,Glo,Lounge,8.4,0.9127121335073916,11.0
10.0,0.0,24.5,54.39,Glo,Lounge,8.4,0.9127121335073916,10.0
6.0,5.0,24.5,54.39,Aqua,Mediterranean Restaurant,8.0,0.977278340330946,11.0
10.0,0.0,24.5,54.39,Aqua,Mediterranean Restaurant,8.0,0.977278340330946,10.0
6.0,5.0,24.5,54.39,Majlis Lobby Lounge,Café,7.5,0.8185089792894189,11.0
10.0,0.0,24.5,54.39,Majlis Lobby Lounge,Café,7.5,0.8185089792894189,10.0
6.0,5.0,24.5,54.39,Aqua at Rosewood,Lebanese Restaurant,7.7,0.8675157887309036,11.0
10.0,0.0,24.5,54.39,Aqua at Rosewood,Lebanese Restaurant,7.7,0.8675157887309036,10.0
6.0,5.0,24.5,54.39,Sense Spa,Spa,7.3,0.7023603711674841,11.0
10.0,0.0,24.5,54.39,Sense Spa,Spa,7.3,0.7023603711674841,10.0
6.0,5.0,24.5,54.39,La Cava,Wine Bar,7.3,0.725928800762093,11.0
10.0,0.0,24.5,54.39,La Cava,Wine Bar,7.3,0.725928800762093,10.0
6.0,5.0,24.5,54.39,Eat Greek,Greek Restaurant,7.6,0.8007620929329994,11.0
10.0,0.0,24.5,54.39,Eat Greek,Greek Restaurant,7.6,0.8007620929329994,10.0
6.0,5.0,24.5,54.39,Roberto's,Italian Restaurant,7.5,0.6743463994637123,11.0
10.0,0.0,24.5,54.39,Roberto's,Italian Restaurant,7.5,0.6743463994637123,10.0
6.0,5.0,24.5,54.39,Caffe Nero (كافيه نيرو),Café,8.5,0.991144197861906,11.0
10.0,0.0,24.5,54.39,Caffe Nero (كافيه نيرو),Café,8.5,0.991144197861906,10.0
6.0,5.0,24.5,54.39,Taqado Mexican Kitchen (Galleria Mall),Mexican Restaurant,8.0,0.9181102917828036,11.0
10.0,0.0,24.5,54.39,Taqado Mexican Kitchen (Galleria Mall),Mexican Restaurant,8.0,0.9181102917828036,10.0
6.0,5.0,24.5,54.39,Kinokuniya,Bookstore,8.3,0.97932470098437,11.0
10.0,0.0,24.5,54.39,Kinokuniya,Bookstore,8.3,0.97932470098437,10.0
6.0,5.0,24.5,54.39,Apple Al Maryah Island (Apple جزيرة الماريه),Electronics Store,8.6,0.98856860600501,11.0
10.0,0.0,24.5,54.39,Apple Al Maryah Island (Apple جزيرة الماريه),Electronics Store,8.6,0.98856860600501,10.0
6.0,5.0,24.5,54.39,L'Eto,Café,8.3,0.9888155805666302,11.0
10.0,0.0,24.5,54.39,L'Eto,Café,8.3,0.9888155805666302,10.0
6.0,5.0,24.5,54.39,Secret Garden by L’ETO,Dessert Shop,7.5,0.9868750661539004,11.0
10.0,0.0,24.5,54.39,Secret Garden by L’ETO,Dessert Shop,7.5,0.9868750661539004,10.0
6.0,5.0,24.5,54.39,Cartier Boutique,Fashion Accessories Store,7.9,0.9889919909677874,11.0
10.0,0.0,24.5,54.39,Cartier Boutique,Fashion Accessories Store,7.9,0.9889919909677874,10.0
1.0,4.0,24.5,54.41,La Brioche,Café,7.4,0.9812079282458566,5.0
1.0,4.0,24.5,54.41,Waitrose & Partners,Grocery Store / Supermarket,7.8,0.994044342025956,5.0
1.0,4.0,24.5,54.41,ستاربكس,Coffee Shop,7.5,0.9834834758476504,5.0
1.0,4.0,24.5,54.41,Leopold's of London,Café,7.2,0.9111939578343096,5.0
1.0,4.0,24.5,54.41,Boudoir Beauty Lounge,Massage Clinic,7.2,0.8274463697378418,5.0
1.0,4.0,24.5,54.41,Hanoi Naturally,Vietnamese Restaurant,7.2,0.9559665430005444,5.0
1.0,4.0,24.5,54.41,The Boutik Mall,Retail,6.7,0.9937320274874554,5.0
1.0,4.0,24.5,54.41,صب واي,Deli,6.8,0.1549067625689929,5.0
4.0,4.0,24.51,54.37,Heritage Park,Park,7.6,0.9429488762657446,8.0
4.0,4.0,24.51,54.38,Sushi Central,Japanese Restaurant,8.3,0.8482870550047631,8.0
4.0,4.0,24.51,54.38,كوستا كوفي,Coffee Shop,6.7,0.9326817909183924,8.0
4.0,4.0,24.51,54.38,Le Boulanger,Café,7.3,0.8024203507038775,8.0
1.0,6.0,24.53,54.4,Louvre Abu Dhabi Museum Shop,Souvenir Store,9.4,0.9974778225769,7.0
1.0,6.0,24.53,54.4,Louvre Abu Dhabi,Art Museum,9.3,0.9981980096708488,7.0
1.0,6.0,24.53,54.4,Fouquet's Abu Dhabi,French Restaurant,8.4,0.961944217687862,7.0
1.0,6.0,24.53,54.4,Aptitude Café - Cultural District,Café,7.9,0.9815545316075194,7.0
10.0,20.0,24.54,54.42,Koi Restaurant & Lounge,Lounge,7.7,0.9051382045123664,30.0
10.0,20.0,24.54,54.42,"The Collection, Saadiyat",Shopping Mall,7.5,0.9599027232786302,30.0
10.0,20.0,24.54,54.42,"55&5th, The Grill",Steakhouse,8.0,0.8987585040316317,30.0
7.0,2.0,24.55,54.43,The Library,Coffee Shop,7.2,0.9853674122008952,9.0
,,25.66,55.75,Inferno Night Club,Night Club,7.9,0.8982238602765171,
,,25.66,55.75,Meat Point,South American Restaurant,7.5,0.9570286438657768,
,,25.66,55.75,Aisha Lobby Lounge,Café,7.5,0.943774886993814,
,,25.66,55.75,Toast'n Burger,Burger Joint,6.9,0.9389382749110357,
,,25.66,55.75,Mojito Bar,Cocktail Bar,7.3,0.2040712709328926,
1.0,8.0,25.67,55.74,SALT (سولت),Burger Joint,8.4,0.9873211442758876,9.0
1.0,8.0,25.67,55.74,DoubleTree Hilton beach,Beach,6.9,0.1278010215328632,9.0
1.0,8.0,25.67,55.74,Al Marjan Restaurant,Restaurant,7.2,0.9799812044871828,9.0
6.0,8.0,25.68,55.78,Caffè Nero (كافيه نيرو),Coffee Shop,8.6,0.9867429847762802,14.0
6.0,8.0,25.68,55.78,Starbucks (ستاربكس),Coffee Shop,8.1,0.9923954028737262,14.0
6.0,8.0,25.68,55.78,شكسبير أند كو,Café,8.0,0.9837980133737982,14.0
6.0,8.0,25.68,55.78,VOX Cinemas (ڤوكس سينما),Movie Theater,8.1,0.989528327394556,14.0
6.0,8.0,25.68,55.78,Al Hamra Mall (الحمرا مول),Shopping Mall,7.4,0.9978036882044834,14.0
6.0,8.0,25.68,55.78,Spinney's,Grocery Store / Supermarket,8.5,0.9927473048634796,14.0
6.0,8.0,25.68,55.78,Nando's,Portuguese Restaurant,7.3,0.9590004339089176,14.0
6.0,8.0,25.68,55.78,Chili's,Steakhouse,7.1,0.9482487257636868,14.0
6.0,8.0,25.68,55.78,Johnny Rockets (جوني روكتس),Fast Food Restaurant,6.6,0.612313664531492,14.0
6.0,8.0,25.68,55.78,Tips and Toes,Health and Beauty Service,6.0,0.9403357728440376,14.0
6.0,3.0,25.69,55.77,SEAFOOD restaurant,Seafood Restaurant,7.8,0.757105254719517,9.0
6.0,3.0,25.69,55.78,Al Hamra Golf Club,Golf Course,7.7,0.967999605587178,9.0
6.0,3.0,25.69,55.78,Belgian Beer Cafe & Restaurant RAK,Belgian Restaurant,7.9,0.9673092004373256,9.0
6.0,3.0,25.69,55.78,Maison Mathis 'Al Hamra Golf Club',Café,6.0,0.9383422706064788,9.0
,,25.69,55.8,Al Hamra Cellar,Food and Beverage Retail,9.1,0.9853345546163552,
6.0,5.0,25.7,55.78,Tucano Coffee (توكانو كافيه),Coffee Shop,8.9,0.9624629351068188,11.0
5.0,4.0,25.7,55.78,Tucano Coffee (توكانو كافيه),Coffee Shop,8.9,0.9624629351068188,9.0
6.0,5.0,25.7,55.78,Sea And Sea,Restaurant,7.8,0.9129654658259956,11.0
5.0,4.0,25.7,55.78,Sea And Sea,Restaurant,7.8,0.9129654658259956,9.0
6.0,5.0,25.7,55.78,زووم مارت,Convenience Store,7.4,0.92430906727123,11.0
5.0,4.0,25.7,55.78,زووم مارت,Convenience Store,7.4,0.92430906727123,9.0
2.0,6.0,25.78,55.94,Tim Hortons,Café,8.2,0.9397446129289704,8.0
2.0,6.0,25.78,55.94,Al Qawasim Corniche (كورنيش القواسم),Harbor / Marina,8.8,0.9992019154030328,8.0
2.0,6.0,25.78,55.94,فواكة فرغلي,Juice Bar,6.4,0.9365522745411012,8.0
2.0,6.0,25.78,55.94,Barbera cafe (كوفي باربيرا),Coffee Shop,7.5,0.0351157222665602,8.0
2.0,6.0,25.79,55.95,Manhattan Cafe,Café,6.9,0.922585794094174,8.0
